Rank,Country,Gold,Silver,Bronze
1,Norway (NOR),14,14,11
2,Germany (GER),14,10,7
3,Canada (CAN),11,8,10
4,United States (USA),9,8,6
5,Netherlands (NED),8,6,6
6,Sweden (SWE),7,6,1
7,South Korea (KOR),5,8,4
8,Switzerland (SUI),5,6,4
9,France (FRA),5,4,6
10,Austria (AUT),5,3,6
11,Japan (JPN),4,5,4
12,Italy (ITA),3,2,5
13,Olympic Athletes from Russia (OAR),2,6,9
14,Czech Republic (CZE),2,2,3
15,Belarus (BLR),2,1,0
16,China (CHN),1,6,2
17,Slovakia (SVK),1,2,0
18,Finland (FIN),1,1,4
19,Great Britain (GBR),1,0,4
20,Poland (POL),1,0,1
21,Hungary (HUN),1,0,0
22,Ukraine (UKR),1,0,0
23,Australia (AUS),0,2,1
24,Slovenia (SLO),0,1,1
25,Belgium (BEL),0,1,0
